epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,675.632,1.43983,1.17102,1.24656,0.28296,0.25477,0.21144,0.10944,1.45755,1.05382,1.2826,0.000302823,0.000302823,0.000302823
2,1311.77,1.48897,1.1418,1.29128,0.42326,0.24082,0.21651,0.10929,1.51146,1.04666,1.2984,0.000593828,0.000593828,0.000593828
3,1939.06,1.47281,1.09883,1.27741,0.36203,0.28705,0.24367,0.13203,1.43464,0.96146,1.26469,0.000872834,0.000872834,0.000872834
4,2563.31,1.43039,1.05085,1.25953,0.38146,0.30965,0.26801,0.14185,1.38562,0.91577,1.23354,0.000855005,0.000855005,0.000855005
5,3198.85,1.39505,1.00557,1.23257,0.30661,0.31706,0.27826,0.14951,1.36818,0.89707,1.21556,0.000837007,0.000837007,0.000837007
6,3849.08,1.36443,0.96345,1.21422,0.49407,0.31072,0.29834,0.15895,1.35392,0.88508,1.20128,0.000819009,0.000819009,0.000819009
7,4494.5,1.34573,0.93774,1.20698,0.40619,0.36792,0.32411,0.17402,1.33488,0.83598,1.19902,0.000801011,0.000801011,0.000801011
8,5136.38,1.32963,0.91505,1.19524,0.44722,0.36144,0.32697,0.1769,1.31652,0.83342,1.18561,0.000783013,0.000783013,0.000783013
9,5789.43,1.31506,0.89984,1.18546,0.46411,0.35904,0.35864,0.19357,1.30808,0.80986,1.18471,0.000765014,0.000765014,0.000765014
10,6437.39,1.30348,0.87656,1.17542,0.47219,0.37417,0.35023,0.19297,1.29742,0.79927,1.17024,0.000747016,0.000747016,0.000747016
11,7083.63,1.29667,0.86384,1.17415,0.46393,0.37062,0.36853,0.19785,1.29482,0.79617,1.16799,0.000729018,0.000729018,0.000729018
12,7729.89,1.288,0.84963,1.16875,0.51265,0.37931,0.37294,0.20693,1.27003,0.76902,1.15626,0.00071102,0.00071102,0.00071102
